0|Accountant|6|12|117|11000
1|Actor|14|17|116|11001
2|Alchemist|4|6|100|11002
3|Apothecary|11|7|118|11003
4|Artist|2|6|110|11004
5|Burglar|3|12|121|11005
6|Carpenter|0|9|103|11006
7|Cobbler|2|6|105|11007
8|Conman|14|10|116|11008
9|Dancer|0|1|116|11009
10|Farmer|0|13|101|11010
11|Fisherman|7|13|103|11011
12|Housewife|11|13|106|11012
13|Hunter|3|13|106|11013
14|Jeweler|6|17|108|11014
15|Knifeman|3|14|120|11015
16|Laborer|0|1|103|11016
17|Mason|0|9|109|11017
18|Merchant|10|17|119|11018
19|Messenger|0|17|119|11019
20|Midwife|11|10|118|11020
21|Monk|5|8|102|11021
22|Musician|16|12|115|11022
23|Noble|5|17|117|11023
24|Officer|15|5|119|11024
25|Panhandler|10|14|115|11025
26|Priest|17|8|102|11026
27|Prostitute|10|17|118|11027
28|Sailor|1|13|114|11028
29|Scholar|5|8|104|11029
30|Servant|17|6|106|11030
31|Smith|0|12|112|11031
32|Soldier|0|15|106|11032
33|Spinster|10|12|114|11033
34|Surgeon|11|6|118|11034
35|Thief|2|3|121|11035
36|Trapper|3|13|113|11036
37|Vagabond|0|13|106|11037
38|Weaver|2|7|114|11038
